field_label,field_key,field_type,field_required,field_intake_priority,field_help_text,field_options,field_default_value,field_group_label,field_group_description,field_group_collapsible,entity_label,entity_type,entity_cardinality,entity_description,entity_min_count,entity_max_count
First Name,first_name,text,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Last Name,last_name,text,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Date Of Birth,date_of_birth,date,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Marital Status,marital_status,select,TRUE,critical,,"[{""label"":""Single"",""value"":""single""},{""label"":""Married"",""value"":""married""},{""label"":""Divorced"",""value"":""divorced""},{""label"":""Widowed"",""value"":""widowed""},{""label"":""Separated"",""value"":""separated""}]",,Personal Info,,TRUE,Client Information,applicant,one,,0,
Gender,gender,select,TRUE,high,,"[{""label"":""Male"",""value"":""male""},{""label"":""Female"",""value"":""female""},{""label"":""Non-Binary"",""value"":""non_binary""}]",,Personal Info,,TRUE,Client Information,applicant,one,,0,
License Number,license_number,text,TRUE,high,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Mailing Address,mailing_address,address,TRUE,critical,,,,Address,,TRUE,Client Information,applicant,one,,0,
Cell Phone,cell_phone,phone,TRUE,critical,,,,Contact,,TRUE,Client Information,applicant,one,,0,
Email,email,email,TRUE,high,,,,Contact,,TRUE,Client Information,applicant,one,,0,
Residence Type,residence_type,select,FALSE,medium,,"[{""label"":""Own Home"",""value"":""own_home""},{""label"":""Own Condo"",""value"":""own_condo""},{""label"":""Rent"",""value"":""rent""},{""label"":""Other"",""value"":""other""}]",,Secondary Details,,TRUE,Client Information,applicant,one,,0,
Occupation,occupation,text,FALSE,medium,,,,Secondary Details,,TRUE,Client Information,applicant,one,,0,
Driver First Name,driver_first_name,text,TRUE,critical,,,,Driver Info,,TRUE,Additional Drivers,person,many,,0,
Driver Last Name,driver_last_name,text,TRUE,critical,,,,Driver Info,,TRUE,Additional Drivers,person,many,,0,
Driver Date Of Birth,driver_date_of_birth,date,TRUE,critical,,,,Driver Info,,TRUE,Additional Drivers,person,many,,0,
Driver License Number,driver_license_number,text,TRUE,high,,,,Driver Info,,TRUE,Additional Drivers,person,many,,0,
Driver Occupation,driver_occupation,text,FALSE,medium,,,,Additional Details,,TRUE,Additional Drivers,person,many,,0,
Driver Gender,driver_gender,select,TRUE,high,,"[{""label"":""Male"",""value"":""male""},{""label"":""Female"",""value"":""female""},{""label"":""Non-Binary"",""value"":""non_binary""}]",,Additional Details,,TRUE,Additional Drivers,person,many,,0,
Relationship,relationship,select,TRUE,high,,"[{""label"":""Self"",""value"":""self""},{""label"":""Spouse"",""value"":""spouse""},{""label"":""Child"",""value"":""child""},{""label"":""Other Relative"",""value"":""other_relative""},{""label"":""Other"",""value"":""other""}]",,Additional Details,,TRUE,Additional Drivers,person,many,,0,
Is College Student,is_college_student,boolean,FALSE,medium,,,,Additional Details,,TRUE,Additional Drivers,person,many,,0,
Vehicle At College,vehicle_at_college,boolean,FALSE,medium,,,,Additional Details,,TRUE,Additional Drivers,person,many,,0,
Vin,vin,vin,FALSE,high,,,,Vehicle Identification,,TRUE,Vehicles,asset,many,,1,
Year,year,number,TRUE,critical,,,,Vehicle Identification,,TRUE,Vehicles,asset,many,,1,
Make,make,text,TRUE,critical,,,,Vehicle Identification,,TRUE,Vehicles,asset,many,,1,
Model,model,text,TRUE,critical,,,,Vehicle Identification,,TRUE,Vehicles,asset,many,,1,
Primary Use,primary_use,select,FALSE,high,,"[{""label"":""Pleasure"",""value"":""pleasure""},{""label"":""Commute"",""value"":""commute""},{""label"":""Business"",""value"":""business""},{""label"":""Farm"",""value"":""farm""}]",,Usage,,TRUE,Vehicles,asset,many,,1,
Annual Mileage,annual_mileage,number,FALSE,high,,,,Usage,,TRUE,Vehicles,asset,many,,1,
Garaging Address,garaging_address,address,FALSE,medium,Only fill in if the vehicle is garaged at an address different from the primary mailing address.,,,Usage,,TRUE,Vehicles,asset,many,,1,
Current Carrier,current_carrier,text,FALSE,medium,,,,Prior Insurance,,TRUE,Prior Coverage & History,coverage,one,,0,
Policy Expiration,policy_expiration,date,FALSE,medium,,,,Prior Insurance,,TRUE,Prior Coverage & History,coverage,one,,0,
Prior Coverage Duration,prior_coverage_duration,number,FALSE,medium,,,,Prior Insurance,,TRUE,Prior Coverage & History,coverage,one,,0,
Accidents Violations,accidents_violations,textarea,FALSE,high,,,,History,,TRUE,Prior Coverage & History,coverage,one,,0,
Desired Liability Limits,desired_liability_limits,text,FALSE,low,,,,Coverage,,TRUE,Prior Coverage & History,coverage,one,,0,
