field_label,field_key,field_type,field_required,field_intake_priority,field_help_text,field_options,field_default_value,field_group_label,field_group_description,field_group_collapsible,entity_label,entity_type,entity_cardinality,entity_description,entity_min_count,entity_max_count
First Name,first_name,text,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Last Name,last_name,text,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Date Of Birth,date_of_birth,date,TRUE,critical,,,,Personal Info,,TRUE,Client Information,applicant,one,,0,
Marital Status,marital_status,select,TRUE,critical,,"[{""label"":""Single"",""value"":""single""},{""label"":""Married"",""value"":""married""},{""label"":""Divorced"",""value"":""divorced""},{""label"":""Widowed"",""value"":""widowed""},{""label"":""Separated"",""value"":""separated""}]",,Personal Info,,TRUE,Client Information,applicant,one,,0,
Cell Phone,cell_phone,phone,TRUE,critical,,,,Contact,,TRUE,Client Information,applicant,one,,0,
Email,email,email,TRUE,high,,,,Contact,,TRUE,Client Information,applicant,one,,0,
Mailing Address,mailing_address,address,TRUE,critical,,,,Address,,TRUE,Client Information,applicant,one,,0,
Property Address,property_address,address,TRUE,critical,Address of the insured property,,,Property Details,,TRUE,Property,asset,one,,0,
Year Built,year_built,number,TRUE,critical,,,,Property Details,,TRUE,Property,asset,one,,0,
Square Footage,square_footage,number,TRUE,high,,,,Property Details,,TRUE,Property,asset,one,,0,
Number Of Stories,number_of_stories,select,TRUE,high,,"[{""label"":""1"",""value"":""1""},{""label"":""1.5"",""value"":""1.5""},{""label"":""2"",""value"":""2""},{""label"":""2.5"",""value"":""2.5""},{""label"":""3"",""value"":""3""},{""label"":""Split Level"",""value"":""split_level""}]",,Property Details,,TRUE,Property,asset,one,,0,
Construction Type,construction_type,select,TRUE,critical,,"[{""label"":""Frame"",""value"":""frame""},{""label"":""Masonry"",""value"":""masonry""},{""label"":""Masonry Veneer"",""value"":""masonry_veneer""},{""label"":""Fire Resistive"",""value"":""fire_resistive""},{""label"":""Superior"",""value"":""superior""}]",,Property Details,,TRUE,Property,asset,one,,0,
Roof Type,roof_type,select,TRUE,high,,"[{""label"":""Asphalt Shingle"",""value"":""asphalt_shingle""},{""label"":""Tile"",""value"":""tile""},{""label"":""Metal"",""value"":""metal""},{""label"":""Slate"",""value"":""slate""},{""label"":""Wood Shake"",""value"":""wood_shake""},{""label"":""Flat"",""value"":""flat""}]",,Property Details,,TRUE,Property,asset,one,,0,
Roof Year,roof_year,number,TRUE,critical,Year the roof was last replaced or installed,,,Property Details,,TRUE,Property,asset,one,,0,
Foundation Type,foundation_type,select,FALSE,medium,,"[{""label"":""Slab"",""value"":""slab""},{""label"":""Basement"",""value"":""basement""},{""label"":""Crawlspace"",""value"":""crawlspace""},{""label"":""Pier/Raised"",""value"":""pier_raised""}]",,Property Details,,TRUE,Property,asset,one,,0,
Full Bathrooms,full_bathrooms,number,FALSE,high,,,,Structure Details,,TRUE,Property,asset,one,,0,
Half Bathrooms,half_bathrooms,number,FALSE,medium,,,,Structure Details,,TRUE,Property,asset,one,,0,
Garage Type,garage_type,select,FALSE,medium,,"[{""label"":""None"",""value"":""none""},{""label"":""Attached 1-Car"",""value"":""attached_1""},{""label"":""Attached 2-Car"",""value"":""attached_2""},{""label"":""Attached 3-Car"",""value"":""attached_3""},{""label"":""Detached 1-Car"",""value"":""detached_1""},{""label"":""Detached 2-Car"",""value"":""detached_2""},{""label"":""Carport"",""value"":""carport""}]",,Structure Details,,TRUE,Property,asset,one,,0,
Fireplaces,fireplaces,number,FALSE,medium,,,,Structure Details,,TRUE,Property,asset,one,,0,
Occupancy Type,occupancy_type,select,TRUE,high,,"[{""label"":""Primary Residence"",""value"":""primary_residence""},{""label"":""Secondary/Seasonal"",""value"":""secondary_seasonal""},{""label"":""Tenant Occupied"",""value"":""tenant_occupied""}]",,Occupancy,,TRUE,Property,asset,one,,0,
Number Of Families,number_of_families,select,FALSE,medium,,"[{""label"":""1"",""value"":""1""},{""label"":""2"",""value"":""2""},{""label"":""3"",""value"":""3""},{""label"":""4"",""value"":""4""}]",,Occupancy,,TRUE,Property,asset,one,,0,
Has Mortgage,has_mortgage,boolean,FALSE,low,Mortgagee details will be collected at binding,,,Occupancy,,TRUE,Property,asset,one,,0,
Heating Type,heating_type,select,TRUE,high,,"[{""label"":""Central Forced Air"",""value"":""central_forced_air""},{""label"":""Heat Pump"",""value"":""heat_pump""},{""label"":""Baseboard"",""value"":""baseboard""},{""label"":""Radiant"",""value"":""radiant""},{""label"":""Wood Stove"",""value"":""wood_stove""},{""label"":""Other"",""value"":""other""}]",,Home Systems,,TRUE,Property,asset,one,,0,
Electrical Update Year,electrical_update_year,number,FALSE,medium,Year electrical wiring was last updated,,,Home Systems,,TRUE,Property,asset,one,,0,
Plumbing Update Year,plumbing_update_year,number,FALSE,medium,Year plumbing was last updated,,,Home Systems,,TRUE,Property,asset,one,,0,
Heating Update Year,heating_update_year,number,FALSE,medium,Year heating system was last updated,,,Home Systems,,TRUE,Property,asset,one,,0,
Swimming Pool,swimming_pool,boolean,FALSE,high,,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Pool Fenced,pool_fenced,boolean,FALSE,high,Is the pool fully enclosed by a fence?,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Trampoline,trampoline,boolean,FALSE,medium,,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Dogs On Premises,dogs_on_premises,boolean,FALSE,high,,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Dog Breed,dog_breed,text,FALSE,high,Required if dogs are on premises; some breeds may affect eligibility,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Wood Burning Stove,wood_burning_stove,boolean,FALSE,medium,,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Home-Based Business,home_based_business,boolean,FALSE,medium,,,,Features & Hazards,,TRUE,Property,asset,one,,0,
Smoke/Fire Alarm,smoke_fire_alarm,boolean,FALSE,medium,,,,Protective Devices,,TRUE,Property,asset,one,,0,
Burglar Alarm,burglar_alarm,boolean,FALSE,medium,,,,Protective Devices,,TRUE,Property,asset,one,,0,
Sprinkler System,sprinkler_system,boolean,FALSE,medium,,,,Protective Devices,,TRUE,Property,asset,one,,0,
Deadbolt Locks,deadbolt_locks,boolean,FALSE,low,,,,Protective Devices,,TRUE,Property,asset,one,,0,
Date Of Loss,date_of_loss,date,TRUE,high,,,,Claim Details,,TRUE,Prior Claims,loss_run,many,,0,
Claim Type,claim_type,select,TRUE,high,,"[{""label"":""Wind/Hail"",""value"":""wind_hail""},{""label"":""Fire"",""value"":""fire""},{""label"":""Water"",""value"":""water""},{""label"":""Theft"",""value"":""theft""},{""label"":""Liability"",""value"":""liability""},{""label"":""Other"",""value"":""other""}]",,Claim Details,,TRUE,Prior Claims,loss_run,many,,0,
Description,claim_description,textarea,FALSE,medium,,,,Claim Details,,TRUE,Prior Claims,loss_run,many,,0,
Amount Paid,amount_paid,currency,FALSE,medium,,,,Claim Details,,TRUE,Prior Claims,loss_run,many,,0,
Claim Status,claim_status,select,FALSE,medium,,"[{""label"":""Open"",""value"":""open""},{""label"":""Closed"",""value"":""closed""}]",,Claim Details,,TRUE,Prior Claims,loss_run,many,,0,
Currently Insured,currently_insured,boolean,FALSE,high,,,,Prior Insurance,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Current Carrier,current_carrier,text,FALSE,medium,,,,Prior Insurance,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Policy Expiration,policy_expiration,date,FALSE,medium,,,,Prior Insurance,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Current Premium,current_premium,currency,FALSE,medium,,,,Prior Insurance,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Dwelling Coverage,dwelling_coverage,currency,FALSE,high,Estimated replacement cost of the dwelling,,,Coverage Preferences,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Personal Liability,personal_liability,select,FALSE,high,,"[{""label"":""$100,000"",""value"":""100000""},{""label"":""$300,000"",""value"":""300000""},{""label"":""$500,000"",""value"":""500000""},{""label"":""$1,000,000"",""value"":""1000000""}]",,Coverage Preferences,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
All-Peril Deductible,all_peril_deductible,select,FALSE,high,,"[{""label"":""$500"",""value"":""500""},{""label"":""$1,000"",""value"":""1000""},{""label"":""$2,500"",""value"":""2500""},{""label"":""$5,000"",""value"":""5000""},{""label"":""$10,000"",""value"":""10000""}]",,Coverage Preferences,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
Wind/Hail Deductible,wind_hail_deductible,select,FALSE,medium,Separate wind/hail deductible if applicable in your state,"[{""label"":""1%"",""value"":""1_pct""},{""label"":""2%"",""value"":""2_pct""},{""label"":""5%"",""value"":""5_pct""},{""label"":""Same As All-Peril"",""value"":""same_as_aop""}]",,Coverage Preferences,,TRUE,Coverage & Prior Insurance,coverage,one,,0,
